request_id,customer_id,region_id,request_type,priority,channel,status,created_at,closed_at,resolution_hours,crew_id,satisfaction_score,repeat_contact,estimated_cost
60,2470,8,Line Repair,Low,Mobile App,Closed,2024-06-29 03:05:00,2024-06-30 18:05:00,39.0,143.0,3.0,0,420.84
61,5123,3,Billing,Critical,Phone,Escalated,2025-08-13 21:20:00,,,,,0,46.14
62,2349,1,Billing,Low,Web,Closed,2025-12-18 11:22:00,2025-12-23 02:22:00,111.0,,4.0,0,193.99
63,541,2,Line Repair,High,Phone,Closed,2024-08-07 22:42:00,2024-08-09 08:42:00,34.0,89.0,4.0,0,282.16
64,5690,2,Vegetation,,Phone,Closed,2024-08-22 14:07:00,2024-08-24 05:07:00,39.0,49.0,3.0,0,343.06
65,2942,1,Vegetation,Medium,Field Report,In Progress,2024-11-10 04:13:00,,,67.0,,0,374.9
66,1280,4,Outage,Critical,Phone,Closed,2025-03-08 03:23:00,2025-03-08 08:23:00,5.0,123.0,4.0,0,480.82
67,4054,2,Meter,Low,Phone,Escalated,2025-03-29 23:46:00,,,111.0,,0,594.82
68,4840,4,Outage,Low,Web,Pending,2024-10-15 16:41:00,,,28.0,,0,272.86
69,2139,3,Streetlight,Low,Phone,In Progress,2024-08-15 22:45:00,,,9.0,,0,393.42
70,1022,2,Outage,Medium,Field Report,In Progress,2025-05-23 18:58:00,,,116.0,,0,414.26
71,2526,5,Vegetation,Medium,Mobile App,In Progress,2025-01-15 09:27:00,,,64.0,,0,343.45
72,872,5,Outage,High,Field Report,Open,2025-03-20 00:07:00,,,16.0,,0,213.66
73,4213,6,Outage,Low,Field Report,Closed,2025-07-21 07:06:00,2025-07-21 18:06:00,11.0,71.0,5.0,0,369.27
74,738,8,Billing,Medium,Phone,Closed,2025-07-11 00:33:00,2025-07-12 07:33:00,31.0,,4.0,0,154.68
75,3001,1,Billing,Low,Phone,Closed,2026-01-07 03:21:00,2026-01-09 03:21:00,48.0,,4.0,0,125.24
76,1602,7,Billing,Medium,Phone,Closed,2024-09-09 01:29:00,2024-09-10 07:29:00,30.0,,4.0,0,170.47
77,392,2,Line Repair,Low,Mobile App,In Progress,2025-05-18 09:12:00,,,45.0,,1,444.84
78,1611,6,Outage,Medium,Web,Closed,2024-12-23 17:55:00,2024-12-23 22:55:00,5.0,91.0,3.0,0,396.35
79,5763,2,Billing,Low,Phone,Open,2024-07-28 03:35:00,,,,,0,166.35
80,5498,5,Line Repair,High,Field Report,Closed,2024-06-09 14:59:00,2024-06-13 00:59:00,82.0,112.0,4.0,0,452.2
81,3579,3,Line Repair,Low,Phone,Closed,2025-06-21 07:53:00,2025-06-22 21:53:00,38.0,122.0,5.0,1,321.63
82,472,4,Streetlight,Medium,Field Report,Closed,2024-04-12 09:21:00,2024-04-15 19:21:00,82.0,7.0,3.0,0,328.69
83,955,2,Outage,Medium,Field Report,Open,2024-05-07 08:02:00,,,168.0,,0,357.37
84,1933,1,Vegetation,Critical,Phone,Closed,2026-01-02 18:48:00,2026-01-05 23:48:00,77.0,162.0,3.0,0,411.76
85,4704,2,Outage,Low,Phone,Closed,2024-11-20 05:02:00,2024-11-20 12:02:00,7.0,156.0,4.0,0,448.01
86,4831,7,Meter,High,Field Report,Escalated,2025-02-08 19:33:00,,,164.0,,0,253.0
87,534,4,Outage,Medium,Phone,Closed,2025-02-28 12:38:00,2025-02-28 19:38:00,7.0,75.0,5.0,1,284.27
88,3130,6,Streetlight,Low,Field Report,Closed,2024-10-20 01:31:00,2024-10-23 12:31:00,83.0,69.0,4.0,0,291.36
89,1428,6,Line Repair,Medium,Web,Closed,2026-01-24 22:32:00,2026-01-26 21:32:00,47.0,153.0,5.0,0,167.74
90,4657,5,Streetlight,Critical,Field Report,In Progress,2024-01-16 02:45:00,,,68.0,,0,290.44
91,3530,6,Line Repair,Critical,Web,Open,2024-01-27 06:29:00,,,118.0,,0,278.67
92,4429,5,Line Repair,Low,Field Report,Closed,2024-02-26 05:42:00,2024-02-27 08:42:00,27.0,8.0,4.0,0,427.92
93,5411,4,Vegetation,Low,Phone,Closed,2024-08-28 11:43:00,2024-08-31 02:43:00,63.0,158.0,4.0,0,307.25
94,4879,8,Billing,Critical,Field Report,Escalated,2024-05-30 03:05:00,,,,,0,278.89
95,5988,4,Line Repair,Medium,Mobile App,In Progress,2025-11-08 16:01:00,,,19.0,,0,236.52
96,3269,4,Line Repair,Low,Web,Pending,2024-06-13 03:28:00,,,92.0,,0,540.99
97,1910,3,Vegetation,Medium,Mobile App,Closed,2025-03-24 00:34:00,2025-03-28 18:34:00,114.0,7.0,3.0,0,306.42
98,384,2,Billing,Low,Phone,Closed,2024-07-03 06:24:00,2024-07-08 23:24:00,137.0,,3.0,0,159.94
99,3304,3,Outage,Medium,Phone,Closed,2024-06-10 16:57:00,2024-06-11 06:57:00,14.0,152.0,3.0,0,344.64
100,1355,2,Vegetation,Medium,Web,Closed,2025-04-19 23:48:00,2025-04-20 18:48:00,19.0,172.0,3.0,0,327.27
101,3909,3,Inspection,Low,Phone,Closed,2025-08-25 11:14:00,2025-08-27 10:14:00,47.0,67.0,5.0,0,221.29
102,725,3,Line Repair,Medium,Mobile App,Pending,2025-03-13 01:31:00,,,165.0,,0,361.77
103,3994,6,Meter,High,Web,Closed,2024-12-07 23:24:00,2024-12-09 23:24:00,48.0,118.0,3.0,0,454.68
104,5396,4,Inspection,Medium,Mobile App,Closed,2025-10-17 01:56:00,2025-10-19 18:56:00,65.0,108.0,3.0,0,391.59
105,2319,2,Line Repair,Medium,Web,Closed,2026-01-07 08:59:00,2026-01-08 06:59:00,22.0,7.0,4.0,0,356.28
106,4192,2,Meter,Low,Phone,Closed,2024-06-05 17:21:00,2024-06-07 18:21:00,49.0,37.0,4.0,0,409.59
107,2913,5,Vegetation,Low,Field Report,Closed,2024-10-08 17:34:00,2024-10-18 15:34:00,238.0,129.0,3.0,0,541.97
108,1819,3,Meter,Medium,Web,Closed,2025-09-20 01:56:00,2025-09-20 15:56:00,14.0,67.0,4.0,0,402.95
109,1240,7,Streetlight,High,Field Report,Closed,2025-09-08 18:04:00,2025-09-10 16:04:00,46.0,160.0,4.0,0,331.27
110,731,1,Meter,Low,Phone,Closed,2025-08-23 23:15:00,2025-08-25 18:15:00,43.0,154.0,4.0,0,426.46
111,1338,8,Streetlight,High,Field Report,Closed,2024-04-20 07:13:00,2024-04-22 10:13:00,51.0,105.0,3.0,0,430.96
112,2800,3,Outage,Low,Mobile App,Closed,2024-11-24 17:32:00,2024-11-25 09:32:00,16.0,86.0,5.0,0,406.67
113,5738,2,Outage,Low,Mobile App,Closed,2026-02-07 09:31:00,2026-02-07 20:31:00,11.0,32.0,4.0,0,417.26
114,3514,2,Meter,Low,Web,Open,2025-12-14 09:17:00,,,146.0,,0,348.12
115,518,7,Billing,High,Phone,Closed,2026-03-01 16:08:00,2026-03-03 06:08:00,38.0,,5.0,0,66.76
116,4696,1,Line Repair,Medium,Phone,Closed,2025-02-14 14:53:00,2025-02-15 14:53:00,24.0,25.0,4.0,0,330.41
117,3628,8,Meter,Medium,Phone,Closed,2024-08-19 10:39:00,2024-08-22 06:39:00,68.0,101.0,5.0,0,423.22
118,2172,2,Vegetation,Medium,Web,Closed,2025-12-16 18:25:00,2025-12-23 00:25:00,150.0,141.0,4.0,0,411.38
119,4152,6,Billing,Low,Phone,Closed,2024-12-01 10:37:00,2024-12-03 20:37:00,58.0,,4.0,0,108.29
120,5406,8,Outage,Low,Web,Closed,2026-01-09 19:43:00,2026-01-10 11:43:00,16.0,176.0,4.0,0,276.36
121,2960,3,Meter,Critical,Phone,Closed,2024-12-25 03:04:00,2024-12-26 11:04:00,32.0,109.0,3.0,0,240.72
122,507,6,Meter,Medium,Field Report,Closed,2024-07-31 13:20:00,2024-08-03 01:20:00,60.0,166.0,5.0,0,406.17
123,4217,8,Vegetation,Low,Phone,Open,2025-01-23 15:00:00,,,153.0,,0,348.9
124,4690,1,Meter,Low,Mobile App,Pending,2024-07-02 01:18:00,,,97.0,,0,356.82
125,2245,8,Line Repair,High,Field Report,Open,2025-03-17 15:26:00,,,112.0,,0,437.76
126,118,7,Line Repair,Critical,Mobile App,Closed,2025-03-09 11:31:00,2025-03-09 17:31:00,6.0,88.0,3.0,0,321.08
127,240,8,Vegetation,High,Mobile App,Closed,2026-02-25 10:14:00,2026-02-28 08:14:00,70.0,130.0,4.0,0,276.0
128,237,4,Billing,Low,Mobile App,Closed,2024-09-21 12:56:00,2024-09-24 20:56:00,80.0,,4.0,0,74.38
129,5190,5,Outage,Medium,Mobile App,Closed,2024-02-25 03:25:00,2024-02-25 12:25:00,9.0,155.0,4.0,0,219.67
130,1876,2,Streetlight,Low,Field Report,Closed,2024-06-13 05:07:00,2024-06-15 03:07:00,46.0,76.0,3.0,0,330.79
131,3703,7,Billing,High,Field Report,In Progress,2024-11-14 12:08:00,,,,,0,252.78
132,3197,2,Outage,Low,Mobile App,Closed,2025-12-27 03:05:00,2025-12-28 02:05:00,23.0,129.0,4.0,0,348.29
133,2058,2,Vegetation,Medium,Field Report,Pending,2024-03-02 00:48:00,,,138.0,,1,348.33
134,3888,1,Vegetation,Critical,Field Report,Closed,2025-12-29 15:35:00,2025-12-30 14:35:00,23.0,21.0,4.0,0,275.55
135,4879,8,Line Repair,Medium,Phone,Escalated,2024-10-06 14:08:00,,,105.0,,0,487.95
136,1345,3,Inspection,Medium,Web,Closed,2026-01-17 03:58:00,2026-01-19 12:58:00,57.0,53.0,4.0,0,412.11
137,1875,6,Inspection,High,Mobile App,Closed,2024-08-21 13:22:00,2024-08-23 00:22:00,35.0,99.0,4.0,0,351.13
138,4361,1,Outage,Medium,Web,Closed,2025-01-12 08:32:00,2025-01-12 19:32:00,11.0,33.0,3.0,0,352.21
139,4567,4,Inspection,Low,Mobile App,Closed,2024-09-16 11:51:00,2024-09-21 04:51:00,113.0,69.0,5.0,1,436.33
140,5537,5,Streetlight,Low,Mobile App,Closed,2024-10-19 20:29:00,2024-10-29 11:29:00,231.0,38.0,3.0,0,428.51
141,629,7,Outage,Critical,Web,In Progress,2025-12-31 14:18:00,,,158.0,,0,547.08
142,5989,4,Streetlight,Medium,Phone,In Progress,2025-04-06 14:57:00,,,53.0,,0,274.43
143,2405,5,Inspection,Medium,Web,Closed,2025-05-16 05:01:00,2025-05-18 10:01:00,53.0,143.0,2.0,0,302.68
144,5613,6,Outage,Low,Field Report,Closed,2024-12-28 22:00:00,2024-12-29 07:00:00,9.0,16.0,4.0,0,380.76
145,552,1,Vegetation,Medium,Web,Closed,2024-02-12 08:21:00,2024-02-19 20:21:00,180.0,50.0,5.0,1,298.08
146,4988,4,Streetlight,Critical,Mobile App,In Progress,2026-01-06 17:32:00,,,69.0,,0,394.27
147,1880,8,Meter,Low,Mobile App,Pending,2024-01-13 01:54:00,,,180.0,,0,514.83
148,851,5,Billing,High,Field Report,Closed,2025-03-27 15:32:00,2025-03-30 09:32:00,66.0,,4.0,0,15.0
149,3482,5,Meter,Low,Mobile App,Closed,2024-09-17 21:23:00,2024-09-22 08:23:00,107.0,110.0,4.0,1,461.4
150,4356,8,Meter,Medium,Mobile App,Closed,2025-12-05 02:30:00,2025-12-05 22:30:00,20.0,56.0,4.0,0,350.47
151,4526,4,Outage,Medium,Mobile App,Closed,2024-09-03 20:38:00,2024-09-04 07:38:00,11.0,138.0,4.0,0,406.06
152,4116,2,Billing,Low,Field Report,Closed,2025-09-29 18:37:00,2025-10-01 18:37:00,48.0,,4.0,0,130.83
153,4215,8,Line Repair,High,Phone,Closed,2024-11-09 10:30:00,2024-11-10 04:30:00,18.0,35.0,5.0,0,248.78
154,858,7,Meter,Medium,Web,Open,2024-09-16 12:14:00,,,23.0,,0,464.99
155,4901,7,Vegetation,Critical,Mobile App,Pending,2024-06-28 08:08:00,,,143.0,,0,282.64
156,4853,2,Billing,Medium,Web,Escalated,2025-08-04 03:09:00,,,,,0,130.41
157,5403,7,Vegetation,Low,Web,Closed,2025-08-03 06:11:00,2025-08-10 23:11:00,185.0,132.0,4.0,0,535.47
158,5831,3,Vegetation,Critical,Web,In Progress,2024-05-29 03:02:00,,,4.0,,0,327.59
159,1440,7,Line Repair,Low,Field Report,Closed,2025-04-17 13:24:00,2025-04-19 07:24:00,42.0,8.0,5.0,0,473.18
160,5173,8,Vegetation,High,Field Report,Open,2026-01-02 12:07:00,,,22.0,,0,411.74
161,1552,4,Billing,,Mobile App,Pending,2024-03-04 23:15:00,,,,,0,15.0
162,2616,4,Inspection,Medium,Phone,Open,2025-08-26 16:48:00,,,124.0,,0,166.47
163,4509,4,Inspection,,Mobile App,In Progress,2025-02-22 18:20:00,,,26.0,,1,414.58
164,1627,1,Inspection,Critical,Field Report,Closed,2026-02-08 12:58:00,2026-02-10 08:58:00,44.0,95.0,4.0,0,496.58
165,2286,1,Streetlight,Critical,Field Report,Open,2025-03-24 02:21:00,,,177.0,,1,196.7
166,3546,8,Streetlight,Medium,Field Report,Open,2024-10-02 02:04:00,,,166.0,,0,384.57
167,3039,4,Meter,Low,Phone,Open,2025-12-21 07:18:00,,,115.0,,0,163.93
168,824,4,Billing,High,Mobile App,Open,2026-03-01 19:30:00,,,,,0,15.0
169,3009,8,Line Repair,High,Field Report,Closed,2025-03-05 17:12:00,2025-03-06 12:12:00,19.0,37.0,4.0,0,265.41
170,5945,4,Vegetation,Medium,Web,In Progress,2025-02-01 19:29:00,,,136.0,,0,254.67
171,3551,8,Vegetation,Medium,Phone,Closed,2025-04-28 16:43:00,2025-05-02 01:43:00,81.0,125.0,5.0,0,261.28
172,596,1,Billing,Medium,Field Report,In Progress,2024-07-03 11:29:00,,,,,0,72.28
173,3089,2,Outage,Medium,Web,Closed,2024-01-23 02:08:00,2024-01-23 10:08:00,8.0,180.0,4.0,0,256.83
174,2937,2,Billing,Critical,Web,Escalated,2025-01-24 00:19:00,,,,,0,15.0
175,48,2,Line Repair,Critical,Mobile App,Closed,2024-05-22 02:50:00,2024-05-22 19:50:00,17.0,86.0,4.0,0,287.02
176,965,2,Billing,Medium,Phone,Closed,2025-11-18 23:08:00,2025-11-21 12:08:00,61.0,,4.0,0,100.11
177,1515,3,Line Repair,Low,Web,Closed,2024-10-14 02:38:00,2024-10-15 11:38:00,33.0,104.0,5.0,0,302.25
178,3570,8,Meter,Low,Field Report,Closed,2024-12-08 16:37:00,2024-12-10 13:37:00,45.0,14.0,4.0,0,142.83
179,2166,6,Inspection,Medium,Web,Closed,2024-04-17 17:22:00,2024-04-18 23:22:00,30.0,96.0,5.0,0,498.05
180,372,5,Meter,High,Web,Closed,2024-01-03 18:09:00,2024-01-04 20:09:00,26.0,94.0,4.0,0,378.01
181,1,2,Inspection,Low,Phone,Closed,2024-03-05 20:25:00,2024-03-22 01:25:00,389.0,88.0,5.0,0,338.49
182,433,3,Billing,Low,Web,Closed,2024-10-12 15:11:00,2024-10-14 10:11:00,43.0,,3.0,0,138.31
183,5006,1,Meter,High,Mobile App,Closed,2024-01-06 01:05:00,2024-01-06 20:05:00,19.0,167.0,3.0,0,291.81
184,4233,7,Outage,Medium,Field Report,Escalated,2024-09-03 02:08:00,,,19.0,,0,501.84
185,4443,8,Streetlight,High,Mobile App,Open,2024-01-07 15:04:00,,,90.0,,0,349.28
186,5256,1,Inspection,Critical,Phone,Escalated,2024-04-28 18:23:00,,,157.0,,0,356.96
187,3800,6,Line Repair,Low,Phone,Closed,2024-11-18 05:27:00,2024-11-18 22:27:00,17.0,12.0,5.0,0,398.5
188,1863,4,Streetlight,High,Field Report,Closed,2024-02-24 18:08:00,2024-02-25 19:08:00,25.0,9.0,4.0,0,271.19
189,3525,1,Vegetation,Medium,Phone,Closed,2025-05-10 08:57:00,2025-05-12 01:57:00,41.0,168.0,5.0,1,521.85
190,4131,7,Vegetation,Low,Mobile App,In Progress,2025-12-16 09:14:00,,,37.0,,0,400.67
191,4276,7,Billing,Medium,Web,Closed,2025-02-26 11:08:00,2025-02-28 01:08:00,38.0,,4.0,0,66.68
192,3869,5,Line Repair,Medium,Phone,Pending,2025-10-01 23:32:00,,,122.0,,0,354.37
193,2547,1,Line Repair,Low,Phone,Open,2024-02-06 08:21:00,,,91.0,,0,374.34
194,5440,5,Vegetation,Low,Web,Closed,2024-03-11 14:57:00,2024-03-16 08:57:00,114.0,93.0,4.0,0,268.32
195,4293,2,Line Repair,High,Mobile App,Closed,2024-06-04 13:33:00,2024-06-05 00:33:00,11.0,70.0,5.0,0,395.08
196,3567,3,Outage,Medium,Web,Escalated,2025-08-25 17:14:00,,,65.0,,0,358.94
197,4440,8,Billing,Medium,Web,Pending,2024-11-21 07:24:00,,,,,0,15.0
198,5167,4,Streetlight,Low,Web,Closed,2025-07-07 01:21:00,2025-07-11 09:21:00,104.0,115.0,3.0,0,401.35
199,2267,6,Inspection,Medium,Field Report,Closed,2025-09-26 10:22:00,2025-09-28 04:22:00,42.0,102.0,3.0,0,203.52
200,4625,3,Outage,High,Phone,In Progress,2025-07-07 10:57:00,,,28.0,,1,373.38
201,5153,1,Inspection,High,Phone,Escalated,2024-08-27 03:05:00,,,119.0,,0,407.47
202,3178,3,Outage,Critical,Phone,Closed,2024-05-25 10:51:00,2024-05-25 11:51:00,1.0,114.0,4.0,0,241.01
203,443,6,Inspection,Low,Phone,Closed,2025-02-19 22:39:00,2025-02-22 12:39:00,62.0,60.0,4.0,0,272.56
204,2196,6,Inspection,Low,Web,Closed,2024-01-01 02:42:00,2024-01-04 00:42:00,70.0,113.0,5.0,0,298.08
205,4636,5,Billing,Critical,Phone,In Progress,2024-06-10 13:48:00,,,,,0,18.33
206,647,7,Meter,Low,Web,Closed,2024-12-21 20:43:00,2024-12-24 17:43:00,69.0,67.0,5.0,0,127.55
207,5060,3,Meter,Medium,Phone,Closed,2025-05-19 03:48:00,2025-05-20 04:48:00,25.0,49.0,4.0,0,331.73
208,3799,2,Vegetation,Low,Mobile App,Closed,2025-12-26 23:37:00,2026-01-01 17:37:00,138.0,165.0,4.0,1,357.79
209,1890,1,Inspection,High,Phone,Pending,2024-01-10 12:18:00,,,160.0,,0,455.1
210,2491,8,Line Repair,Low,Phone,Closed,2024-01-04 08:22:00,2024-01-05 16:22:00,32.0,9.0,4.0,0,312.93
211,3510,4,Outage,Medium,Mobile App,Closed,2024-03-06 02:34:00,2024-03-06 10:34:00,8.0,158.0,4.0,0,385.5
212,1814,2,Streetlight,Low,Web,Closed,2025-07-12 11:22:00,2025-07-15 11:22:00,72.0,63.0,4.0,0,536.79
213,5620,3,Vegetation,Low,Mobile App,Open,2025-02-01 02:02:00,,,125.0,,0,320.66
214,4732,1,Outage,Low,Field Report,Closed,2025-07-14 01:04:00,2025-07-15 02:04:00,25.0,113.0,4.0,0,166.57
215,362,5,Line Repair,High,Field Report,Closed,2025-05-27 08:44:00,2025-05-27 17:44:00,9.0,56.0,3.0,0,318.36
216,4672,2,Line Repair,Low,Mobile App,Closed,2024-08-18 00:00:00,2024-08-19 05:00:00,29.0,118.0,5.0,0,379.42
217,1288,5,Meter,Low,Web,Open,2025-10-10 11:53:00,,,127.0,,0,424.65
218,3109,4,Meter,Low,Field Report,Closed,2024-07-07 09:06:00,2024-07-08 05:06:00,20.0,66.0,4.0,0,419.38
219,501,2,Vegetation,Medium,Web,Closed,2024-08-12 07:19:00,2024-08-14 01:19:00,42.0,25.0,5.0,1,380.46
220,262,2,Vegetation,Medium,Field Report,Closed,2025-11-24 01:22:00,2025-11-26 22:22:00,69.0,164.0,5.0,0,554.36
221,4432,5,Vegetation,Medium,Mobile App,Pending,2024-09-05 00:09:00,,,30.0,,1,372.34
222,3217,2,Billing,High,Phone,Pending,2024-10-15 21:21:00,,,,,0,43.51
223,3740,1,Meter,High,Field Report,Closed,2024-11-27 18:55:00,2024-11-29 09:55:00,39.0,44.0,3.0,0,356.44
224,4863,8,Line Repair,Low,Field Report,Closed,2024-02-17 07:53:00,2024-02-18 06:53:00,23.0,172.0,4.0,0,380.03
225,1468,6,Line Repair,High,Web,Closed,2025-04-13 11:22:00,2025-04-14 07:22:00,20.0,20.0,4.0,0,325.71
226,3796,1,Line Repair,Medium,Web,Closed,2024-01-02 14:07:00,2024-01-03 02:07:00,12.0,89.0,4.0,0,383.96
227,1849,7,Inspection,Medium,Web,Pending,2024-07-12 13:44:00,,,26.0,,0,267.01
228,4981,1,Inspection,Low,Mobile App,Closed,2025-06-21 03:33:00,2025-06-26 17:33:00,134.0,126.0,5.0,0,387.21
